identifier,section,parameter,value
K.lod2@senstadt,Direkter Download des Datensatzes,LoD2,"
https://fbinter.stadt-berlin.de/fb/atom/LOD2/LoD2_378_5830.zip
"
K.lod2@senstadt,Direkter Download des Datensatzes,LoD2,"
https://fbinter.stadt-berlin.de/fb/atom/LOD2/LoD2_379_5809.zip
"
K.lod2@senstadt,Direkter Download des Datensatzes,LoD2,"
https://fbinter.stadt-berlin.de/fb/atom/LOD2/LoD2_379_5810.zip
"
K.lod2@senstadt,Direkter Download des Datensatzes,LoD2,"
https://fbinter.stadt-berlin.de/fb/atom/LOD2/LoD2_379_5811.zip
"
K.lod2@senstadt,Direkter Download des Datensatzes,LoD2,"
https://fbinter.stadt-berlin.de/fb/atom/LOD2/LoD2_379_5812.zip
"
K.lod2@senstadt,Direkter Download des Datensatzes,LoD2,"
https://fbinter.stadt-berlin.de/fb/atom/LOD2/LoD2_379_5813.zip
"
K.lod2@senstadt,Direkter Download des Datensatzes,LoD2,"
https://fbinter.stadt-berlin.de/fb/atom/LOD2/LoD2_379_5818.zip
"
K.lod2@senstadt,Direkter Download des Datensatzes,LoD2,"
https://fbinter.stadt-berlin.de/fb/atom/LOD2/LoD2_379_5819.zip
"
K.lod2@senstadt,Direkter Download des Datensatzes,LoD2,"
https://fbinter.stadt-berlin.de/fb/atom/LOD2/LoD2_379_5820.zip
"
K.lod2@senstadt,Direkter Download des Datensatzes,LoD2,"
https://fbinter.stadt-berlin.de/fb/atom/LOD2/LoD2_379_5821.zip
"
K.lod2@senstadt,Direkter Download des Datensatzes,LoD2,"
https://fbinter.stadt-berlin.de/fb/atom/LOD2/LoD2_379_5822.zip
"
K.lod2@senstadt,Direkter Download des Datensatzes,LoD2,"
https://fbinter.stadt-berlin.de/fb/atom/LOD2/LoD2_379_5823.zip
"
K.lod2@senstadt,Direkter Download des Datensatzes,LoD2,"
https://fbinter.stadt-berlin.de/fb/atom/LOD2/LoD2_379_5824.zip
"
K.lod2@senstadt,Direkter Download des Datensatzes,LoD2,"
https://fbinter.stadt-berlin.de/fb/atom/LOD2/LoD2_379_5825.zip
"
K.lod2@senstadt,Direkter Download des Datensatzes,LoD2,"
https://fbinter.stadt-berlin.de/fb/atom/LOD2/LoD2_379_5826.zip
"
K.lod2@senstadt,Direkter Download des Datensatzes,LoD2,"
https://fbinter.stadt-berlin.de/fb/atom/LOD2/LoD2_379_5827.zip
"
K.lod2@senstadt,Direkter Download des Datensatzes,LoD2,"
https://fbinter.stadt-berlin.de/fb/atom/LOD2/LoD2_379_5828.zip
"
K.lod2@senstadt,Direkter Download des Datensatzes,LoD2,"
https://fbinter.stadt-berlin.de/fb/atom/LOD2/LoD2_379_5829.zip
"
K.lod2@senstadt,Direkter Download des Datensatzes,LoD2,"
https://fbinter.stadt-berlin.de/fb/atom/LOD2/LoD2_379_5830.zip
"
K.lod2@senstadt,Direkter Download des Datensatzes,LoD2,"
https://fbinter.stadt-berlin.de/fb/atom/LOD2/LoD2_379_5831.zip
"
K.lod2@senstadt,Direkter Download des Datensatzes,LoD2,"
https://fbinter.stadt-berlin.de/fb/atom/LOD2/LoD2_379_5832.zip
"
K.lod2@senstadt,Direkter Download des Datensatzes,LoD2,"
https://fbinter.stadt-berlin.de/fb/atom/LOD2/LoD2_380_5807.zip
"
K.lod2@senstadt,Direkter Download des Datensatzes,LoD2,"
https://fbinter.stadt-berlin.de/fb/atom/LOD2/LoD2_380_5808.zip
"
K.lod2@senstadt,Direkter Download des Datensatzes,LoD2,"
https://fbinter.stadt-berlin.de/fb/atom/LOD2/LoD2_380_5809.zip
"
